evaluation,class,precision,recall,f1,support
test,anger,0.632295719844358,0.777511961722488,0.6974248927038627,418.0
test,disgust,0.6575342465753424,0.6,0.6274509803921569,400.0
test,fear,0.2943722943722944,0.17215189873417722,0.21725239616613418,395.0
test,joy,0.2796005706134094,0.49246231155778897,0.35668789808917195,398.0
test,sadness,0.6191950464396285,0.5063291139240507,0.5571030640668524,395.0
test,surprise,0.0,0.0,0.0,200.0
test,neutral,0.6311111111111111,0.7513227513227513,0.6859903381642513,378.0
CREMA-D_test,anger,0.73125,0.6428571428571429,0.6842105263157895,182.0
CREMA-D_test,disgust,0.3812154696132597,0.3791208791208791,0.38016528925619836,182.0
CREMA-D_test,fear,0.5242718446601942,0.2967032967032967,0.37894736842105264,182.0
CREMA-D_test,joy,0.4695121951219512,0.4230769230769231,0.44508670520231214,182.0
CREMA-D_test,sadness,0.48878923766816146,0.5989010989010989,0.5382716049382716,182.0
CREMA-D_test,surprise,0.0,0.0,0.0,0.0
CREMA-D_test,neutral,0.3617021276595745,0.5448717948717948,0.43478260869565216,156.0
TESS_test,anger,0.5682539682539682,0.8994974874371859,0.6964980544747081,199.0
TESS_test,disgust,0.9285714285714286,0.845,0.8848167539267016,200.0
TESS_test,fear,0.027522935779816515,0.01507537688442211,0.01948051948051948,199.0
TESS_test,joy,0.20428015564202334,0.525,0.29411764705882354,200.0
TESS_test,sadness,0.9,0.405,0.5586206896551724,200.0
TESS_test,surprise,0.0,0.0,0.0,200.0
TESS_test,neutral,0.9468085106382979,0.89,0.9175257731958762,200.0
